model,domain,factor,ATE,ci_low,ci_high,n_pairs
kimi__kimi-k2.5,academic_qa,O4,-0.011111111111111112,-0.11338888888888889,0.08222222222222222,450
kimi__kimi-k2.5,consumer_product,S1,0.14222222222222222,0.03994444444444445,0.24666666666666667,450
kimi__kimi-k2.5,consumer_product,S2,-0.15555555555555556,-0.28,-0.04888888888888889,450
kimi__kimi-k2.5,consumer_product,S3,-0.07777777777777778,-0.17777777777777778,0.02666666666666667,450
kimi__kimi-k2.5,consumer_product,S4,0.08222222222222222,-0.03333333333333333,0.19116666666666662,450
kimi__kimi-k2.5,consumer_product,O1,0.07777777777777778,-0.0022222222222222222,0.16666666666666666,450
kimi__kimi-k2.5,consumer_product,O2,0.017777777777777778,-0.07116666666666667,0.1111111111111111,450
kimi__kimi-k2.5,consumer_product,O3,0.03333333333333333,-0.06672222222222222,0.13338888888888883,450
kimi__kimi-k2.5,consumer_product,O4,0.03777777777777778,-0.06222222222222222,0.13783333333333328,450
kimi__kimi-k2.5,finance,S1,0.16,0.07333333333333333,0.24888888888888888,450
kimi__kimi-k2.5,finance,S2,-0.042222222222222223,-0.13111111111111112,0.03777777777777778,450
kimi__kimi-k2.5,finance,S3,0.10666666666666667,-0.0044444444444444444,0.22444444444444445,450
kimi__kimi-k2.5,finance,S4,0.09777777777777778,-0.01783333333333333,0.20666666666666667,450
kimi__kimi-k2.5,finance,O1,-0.04888888888888889,-0.15561111111111112,0.06449999999999995,450
kimi__kimi-k2.5,finance,O2,-0.02,-0.10666666666666667,0.0600555555555555,450
kimi__kimi-k2.5,finance,O3,-0.017777777777777778,-0.10227777777777779,0.06672222222222217,450
kimi__kimi-k2.5,finance,O4,0.028888888888888888,-0.057777777777777775,0.11116666666666661,450
kimi__kimi-k2.5,health,S1,0.08666666666666667,-0.015611111111111107,0.18449999999999994,450
kimi__kimi-k2.5,health,S2,-0.02666666666666667,-0.13111111111111112,0.07777777777777778,450
kimi__kimi-k2.5,health,S3,0.02666666666666667,-0.07777777777777778,0.12,450
kimi__kimi-k2.5,health,S4,0.06222222222222222,-0.05783333333333333,0.17777777777777778,450
kimi__kimi-k2.5,health,O1,0.03333333333333333,-0.055611111111111104,0.12444444444444444,450
kimi__kimi-k2.5,health,O2,0.03333333333333333,-0.07555555555555556,0.14672222222222217,450
kimi__kimi-k2.5,health,O3,0.06,-0.05333333333333334,0.1600555555555555,450
kimi__kimi-k2.5,health,O4,0.08666666666666667,0.0044444444444444444,0.17338888888888884,450
kimi__kimi-k2.5,travel,S1,0.08666666666666667,-0.00672222222222222,0.18222222222222223,450
kimi__kimi-k2.5,travel,S2,-0.04888888888888889,-0.10672222222222223,0.0,450
kimi__kimi-k2.5,travel,S3,-0.14666666666666667,-0.2422777777777778,-0.06661111111111116,450
kimi__kimi-k2.5,travel,S4,0.042222222222222223,-0.028888888888888888,0.11338888888888883,450
kimi__kimi-k2.5,travel,O1,-0.008888888888888889,-0.05783333333333333,0.04666666666666667,450
kimi__kimi-k2.5,travel,O2,-0.03777777777777778,-0.11338888888888889,0.024444444444444446,450
kimi__kimi-k2.5,travel,O3,-0.044444444444444446,-0.09777777777777778,0.0022222222222222222,450
kimi__kimi-k2.5,travel,O4,0.044444444444444446,-0.035555555555555556,0.11777777777777777,450
meta-llama__llama-4-maverick,academic_qa,S1,-0.0022222222222222222,-0.09111111111111111,0.08666666666666667,450
meta-llama__llama-4-maverick,academic_qa,S2,-0.08222222222222222,-0.1756111111111111,0.008888888888888889,450
meta-llama__llama-4-maverick,academic_qa,S3,0.2,0.11333333333333333,0.29333333333333333,450
meta-llama__llama-4-maverick,academic_qa,S4,0.022271714922048998,-0.06013698596086541,0.10467706013363029,450
meta-llama__llama-4-maverick,academic_qa,O1,-0.03111111111111111,-0.11333333333333333,0.051111111111111114,450
meta-llama__llama-4-maverick,academic_qa,O2,0.022222222222222223,-0.06222222222222222,0.10222222222222223,450
meta-llama__llama-4-maverick,academic_qa,O3,-0.08444444444444445,-0.15555555555555556,-0.02666666666666667,450
meta-llama__llama-4-maverick,academic_qa,O4,-0.02,-0.11555555555555555,0.07333333333333333,450
meta-llama__llama-4-maverick,consumer_product,S1,0.08666666666666667,-0.0022222222222222222,0.18449999999999994,450
meta-llama__llama-4-maverick,consumer_product,S2,-0.11333333333333333,-0.22233333333333333,0.0022222222222222222,450
meta-llama__llama-4-maverick,consumer_product,S3,-0.008888888888888889,-0.12,0.10666666666666667,450
meta-llama__llama-4-maverick,consumer_product,S4,0.14,0.044444444444444446,0.24672222222222218,450
