model,domain,factor,ATE,ci_low,ci_high,n_pairs
meta-llama__llama-4-maverick,consumer_product,O1,-0.05555555555555555,-0.1511111111111111,0.05333333333333334,450
meta-llama__llama-4-maverick,consumer_product,O2,0.024444444444444446,-0.06444444444444444,0.11777777777777777,450
meta-llama__llama-4-maverick,consumer_product,O3,0.0,-0.10233333333333333,0.10449999999999995,450
meta-llama__llama-4-maverick,consumer_product,O4,0.06444444444444444,-0.03777777777777778,0.16227777777777772,450
meta-llama__llama-4-maverick,finance,S1,0.18444444444444444,0.05555555555555555,0.3067222222222222,450
meta-llama__llama-4-maverick,finance,S2,-0.008888888888888889,-0.10666666666666667,0.09116666666666662,450
meta-llama__llama-4-maverick,finance,S3,0.18666666666666668,0.06666666666666667,0.29777777777777775,450
meta-llama__llama-4-maverick,finance,S4,0.12,-0.006666666666666667,0.24666666666666667,450
meta-llama__llama-4-maverick,finance,O1,-0.057777777777777775,-0.15555555555555556,0.04,450
meta-llama__llama-4-maverick,finance,O2,-0.06444444444444444,-0.14444444444444443,0.006722222222222172,450
meta-llama__llama-4-maverick,finance,O3,0.011111111111111112,-0.08666666666666667,0.10888888888888888,450
meta-llama__llama-4-maverick,finance,O4,0.008888888888888889,-0.08222222222222222,0.09116666666666662,450
meta-llama__llama-4-maverick,health,S1,0.09777777777777778,-0.015555555555555555,0.21333333333333335,450
meta-llama__llama-4-maverick,health,S2,0.05555555555555555,-0.044444444444444446,0.15561111111111106,450
meta-llama__llama-4-maverick,health,S3,0.1511111111111111,0.04666666666666667,0.2577777777777778,450
meta-llama__llama-4-maverick,health,S4,0.1688888888888889,0.05105555555555556,0.28888888888888886,450
meta-llama__llama-4-maverick,health,O1,-0.035555555555555556,-0.13111111111111112,0.057777777777777775,450
meta-llama__llama-4-maverick,health,O2,0.08666666666666667,-0.015555555555555555,0.19333333333333333,450
meta-llama__llama-4-maverick,health,O3,0.08222222222222222,-0.028888888888888888,0.18672222222222218,450
meta-llama__llama-4-maverick,health,O4,0.09333333333333334,0.024444444444444446,0.17555555555555555,450
meta-llama__llama-4-maverick,travel,S1,0.017777777777777778,-0.06222222222222222,0.09783333333333329,450
meta-llama__llama-4-maverick,travel,S2,-0.12666666666666668,-0.2088888888888889,-0.05555555555555555,450
meta-llama__llama-4-maverick,travel,S3,-0.08666666666666667,-0.18666666666666668,0.0,450
meta-llama__llama-4-maverick,travel,S4,0.051111111111111114,-0.04666666666666667,0.15555555555555556,450
meta-llama__llama-4-maverick,travel,O1,-0.07777777777777778,-0.1733888888888889,0.017833333333333284,450
meta-llama__llama-4-maverick,travel,O2,0.022222222222222223,-0.033388888888888885,0.08666666666666667,450
meta-llama__llama-4-maverick,travel,O3,-0.04888888888888889,-0.1288888888888889,0.028888888888888888,450
meta-llama__llama-4-maverick,travel,O4,0.017777777777777778,-0.0445,0.06888888888888889,450
minimax__MiniMax-M3,academic_qa,S1,-0.13111111111111112,-0.2111111111111111,-0.051111111111111114,450
minimax__MiniMax-M3,academic_qa,S2,-0.13333333333333333,-0.2222222222222222,-0.05333333333333334,450
minimax__MiniMax-M3,academic_qa,S3,0.18930957683741648,0.09328285077951003,0.2796510067114094,450
minimax__MiniMax-M3,academic_qa,S4,-0.05333333333333334,-0.13111111111111112,0.024499999999999952,450
minimax__MiniMax-M3,academic_qa,O1,-0.05555555555555555,-0.13555555555555557,0.017777777777777778,450
minimax__MiniMax-M3,academic_qa,O2,-0.035555555555555556,-0.11783333333333333,0.03777777777777778,450
minimax__MiniMax-M3,academic_qa,O3,-0.06444444444444444,-0.13333333333333333,0.002277777777777727,450
minimax__MiniMax-M3,academic_qa,O4,-0.04666666666666667,-0.12227777777777778,0.022222222222222223,450
minimax__MiniMax-M3,consumer_product,S1,-0.024444444444444446,-0.11555555555555555,0.06677777777777767,450
minimax__MiniMax-M3,consumer_product,S2,-0.11555555555555555,-0.2311111111111111,-0.01327777777777783,450
minimax__MiniMax-M3,consumer_product,S3,-0.1,-0.20666666666666667,0.017777777777777778,450
minimax__MiniMax-M3,consumer_product,S4,0.035555555555555556,-0.05555555555555555,0.13333333333333333,450
minimax__MiniMax-M3,consumer_product,O1,-0.0022222222222222222,-0.08666666666666667,0.0800555555555555,450
minimax__MiniMax-M3,consumer_product,O2,-0.04888888888888889,-0.12,0.02,450
minimax__MiniMax-M3,consumer_product,O3,-0.022222222222222223,-0.12222222222222222,0.0800555555555555,450
minimax__MiniMax-M3,consumer_product,O4,0.011111111111111112,-0.07116666666666667,0.09338888888888884,450
minimax__MiniMax-M3,finance,S1,0.06222222222222222,-0.017777777777777778,0.14894444444444438,450
minimax__MiniMax-M3,finance,S2,-0.013333333333333334,-0.06888888888888889,0.044444444444444446,450
minimax__MiniMax-M3,finance,S3,0.17777777777777778,0.08444444444444445,0.28,450
minimax__MiniMax-M3,finance,S4,0.057777777777777775,-0.031166666666666662,0.14222222222222222,450
minimax__MiniMax-M3,finance,O1,-0.08444444444444445,-0.18005555555555555,0.008944444444444394,450
minimax__MiniMax-M3,finance,O2,-0.024444444444444446,-0.08666666666666667,0.03777777777777778,450
minimax__MiniMax-M3,finance,O3,-0.006666666666666667,-0.07783333333333334,0.06444444444444444,450
minimax__MiniMax-M3,finance,O4,-0.028888888888888888,-0.1,0.03561111111111106,450
minimax__MiniMax-M3,health,S1,-0.02666666666666667,-0.12222222222222222,0.06666666666666667,450
minimax__MiniMax-M3,health,S2,0.017777777777777778,-0.08666666666666667,0.11777777777777777,450
minimax__MiniMax-M3,health,S3,0.16,0.06444444444444444,0.24888888888888888,450
minimax__MiniMax-M3,health,S4,0.06888888888888889,-0.022222222222222223,0.15783333333333327,450
minimax__MiniMax-M3,health,O1,0.06222222222222222,-0.024444444444444446,0.15555555555555556,450
minimax__MiniMax-M3,health,O2,0.07333333333333333,-0.03333333333333333,0.17333333333333334,450
minimax__MiniMax-M3,health,O3,0.08222222222222222,-0.017777777777777778,0.17777777777777778,450
minimax__MiniMax-M3,health,O4,0.13333333333333333,0.057777777777777775,0.22444444444444445,450
minimax__MiniMax-M3,travel,S1,0.0022222222222222222,-0.06,0.06449999999999995,450
minimax__MiniMax-M3,travel,S2,-0.05555555555555555,-0.1288888888888889,0.013388888888888839,450
minimax__MiniMax-M3,travel,S3,-0.12444444444444444,-0.21561111111111111,-0.03333333333333333,450
